First Name,Middle Name,Last Name
FRANCISCO,KING,BARRETTO
PACITA,MANDAC,BARRETTO
ABDULA,DONDE,KUMPA
DANILO,SALAPARE,MINDANAO
MARLEO,REYES,BARRERA
RICARDO,TORRES,BARRERA
IKE,,BARREDO
ABDULHAKIM,ORAKO,PANANDIGAN
EDGAR,PACILAGAN,BARRIENTOS
FELIPE,BERMEJO,BARREDO
ROMARIO,CANCERAN,PANANGUI
RICARDO,SANTOS,CRUZ
ATANACIO,MACAMAY,BARTE
DELFIN,,PANAL
PEDRO,,MINDO
APOLONIO,,CRISTOBAL
AGUSTIN,,BARTE
NERI,,BARTE
NERBIOSO,,BARTE
RENATO,CASTRO,CRUZ
CHARLOTTE,DUMANJUG,PANAL
ANASTACIO,ADALLA,BARSANA
ANTHONY,,BARSANA
JOSE JOAN,,KOH
GERONIMO,GABRIEL,CRISTOBAL
VILLAMOR,DIZON,BARRUELA
ARTHUR,,BARRALES
CLAUDIUS,GELIO,BARROSO
JOSEPHUS,ROSA,KOMIYA
ROMUALDO,,MINDARO
ARLENE,WOO,KOA
AMADO,LORICO,CRISTE
LUCENA,TACUJAN,KUAN
DOMINGO,ALABARCA,BARRINA
MASHID,LANGI-CATE,KURANGKING
JOSE,MARCAYDA,HAO
LEONARDO,ENCIO,CRUZ
DAISY,MARCELO,BARRAMEDA
RAMIR,ABINES,BARRAMEDA
AMBROSIO,CRUZ,CRUZ
CEPRIANO,,CRUZ
EDILBERTO,,CRUZ
CONRADO,MELENDEZ,BARROSO
JOSE ALLAN,,BARTOLO
DIOSCORO,LLAGAS,BARRI
MANUEL FREDERICK,ONG,KO
DAVID,DIMAALA,PAMPLONA
CERILO,BONGCAWIL,MINGO
MANALO,ZAMAN,MONTE
CARMINIA,GATUSLAO,BASCON
JEAN,BAQUIAL,BASCON
HERMAN ANTONIO,MARTINEZ,BASCON
HENRY,MANGIGA,KIPAS
ERLINDA,,OMONGOS
ELY NARCISO,ENDRINA,CREUS
POLICARPIO,LIMBO,PAMPOLA
JURGEN,,OMPANG
ALFREDO,,BARTOLABA
ROGER,MILO,KITMA
JOSE,,BASADRE
JONATHAN,RENDAL,KITANE
PHILBERT,MARTINEZ,OMLI
ANABELLA,NEGADO,CRISOSTOMO
RUDY,MANLIGUEZ,MINDO
ROMUALDO,CHIN,CRISPINO
CLYDE,PATACSIL,CRISPINO
ORLANDO,RAMOS,BARTOLOME
EDWARD,GABRIEL,BARTOLOME
FLORITA-MARIETTA,TURINGAN,BARTOLOME
LIBERTY,SIRAY,BARTOLOME
REYDEE,GORDO,BARTOLOME
NELCY,DUBDUBAN,KLING
AURELIO PAULO,REYES,BARTOLOME
EDGAR,RUIZ,BARTOLOME
RUPERTO IAN,,MONTE
NELSON,,BARTOLOME
ROBERT,MENDOZA,HARNOIS
RUBEN,CASTAÑEDA,BASCONCILLO
FILOMENA,BERNUS,BASCONES
WILLY,,BARTOLAY
LITO N,ENDRINA,CREUS
ABUBACAR,BENITO,BASCARA
ROJIE,TALLARI,KIPTIANI
LOWELL,,BASBAS
FARHAN,,KIRAM
ROY,CANTUBA,BASAS
JINNY,MANLAPAZ,MINGLANA
NADZRA,,HASIM
